Benchmark,#Calls,normFalseNewFalse%Inlined,normFalseNewTrue%Inlined,#Calls,normTrueNewFalse%Inlined,normTrueNewTrue%Inlined
CHStone-adpcm-N,35,0.14285714285714285,0.2857142857142857,35,0.14285714285714285,1
CHStone-aes-N,20,0,0.55,20,0,0.95
CHStone-blowfish-N,9,0,0.2222222222222222,9,0,1
CHStone-gsm-N,42,0,0.5476190476190477,42,0,0.8809523809523809
CHStone-mips-N,1,0,0,1,0,1
CHStone-motion-N,32,0,0.46875,33,0,0.8787878787878788
CHStone-sha-N,12,0.08333333333333333,0.6666666666666666,12,0.08333333333333333,1
NAS-BT-W,61,0.7049180327868853,0.5901639344262295,61,0.7049180327868853,1
NAS-CG-W,21,0.14285714285714285,0.47619047619047616,21,0.14285714285714285,0.9523809523809523
NAS-EP-W,17,0.23529411764705882,0.5294117647058824,17,0.23529411764705882,1
NAS-FT-W,42,0.047619047619047616,0.2857142857142857,42,0.047619047619047616,1
NAS-IS-W,16,0.125,0.4375,16,0.125,0.8125
NAS-MG-W,65,0.06153846153846154,0.2,65,0.06153846153846154,0.9692307692307692
NAS-SP-W,44,0.5454545454545454,0.5454545454545454,44,0.5454545454545454,1
Inlinebench-k_means,3,0.6666666666666666,0.3333333333333333,6,0.6666666666666666,1
Inlinebench-matrix_mult,8,0,0.5,8,0,1
Inlinebench-vec_multiple_returns,4,0,0.25,5,0.4,1